acname,acvalue
Ki,0.158
Ki,0.158
Ki,0.157
IC50,0.1567
IC50,0.15653
IC50,0.156
Ki,0.156
Ki,0.154
Ki,0.154
Ki,0.154
IC50,0.153
IC50,0.152
IC50,0.152
Ki,0.151
IC50,0.15
IC50,0.15
IC50,0.15
Kd,0.15
IC50,0.15
EC50,0.15
EC50,0.15
IC50,0.15
Kd,0.15
Ki,0.15
IC50,0.15
IC50,0.15
IC50,0.15
Ki,0.149
EC50,0.149
Ki,0.149
IC50,0.1486
IC50,0.148
Ki,0.148
IC50,0.147
IC50,0.147
Ki,0.146
IC50,0.145
IC50,0.14454
IC50,0.144
Ki,0.144
Ki,0.144
Ki,0.143
IC50,0.142
IC50,0.142
IC50,0.1414
IC50,0.141
IC50,0.14083
Ki,0.14
EC50,0.14
IC50,0.14
IC50,0.14
IC50,0.14
Ki,0.14
EC90,0.14
IC50,0.14
IC50,0.14
EC50,0.14
Ki,0.14
IC50,0.14
IC50,0.14
IC50,0.14
Kd,0.14
Kd,0.14
IC50,0.14
IC50,0.14
IC50,0.1395
IC50,0.139
IC50,0.139
IC50,0.1385
IC50,0.1376
Ki,0.136
IC50,0.136
IC50,0.136
Ki,0.136
Ki,0.136
IC50,0.136
IC50,0.134
EC50,0.134
IC50,0.134
Ki,0.134
Ki,0.133
IC50,0.133
Ki,0.133
Kd,0.132
Ki,0.132
IC50,0.132
IC50,0.132
IC50,0.13183
IC50,0.131
Ki,0.131
Ki,0.131
Ki,0.13
EC50,0.13
IC50,0.13
IC50,0.13
IC50,0.13
EC50,0.13
IC50,0.13
IC50,0.13
IC50,0.13
IC50,0.13
IC50,0.13
